lat,lng,duration,distance,city
-41.072184,174.860037,3857,25549,Wellington
-41.15544,174.83548,3143,19662,Wellington
-41.178922,174.821848,2680,15505,Wellington
-41.129259,174.832848,2598,18437,Wellington
-41.254657,174.764082,1351,5632,Wellington
-41.213739,174.869182,3314,14415,Wellington
-41.215958,174.894373,1806,14193,Wellington
-41.215184,174.926403,3377,18240,Wellington
-41.14532,175.03054,4921,31825,Wellington
-41.155545,174.978026,6905,26670,Wellington
-41.282153,174.73967,1107,5274,Wellington
-41.281322,174.751049,815,4141,Wellington
-41.282902,174.760791,764,2164,Wellington
-41.269324,174.755727,1101,6219,Wellington
-41.262098,174.771132,887,3757,Wellington
-41.26471,174.781603,539,2367,Wellington
-41.275388,174.772378,686,914,Wellington
-41.27542,174.76255,1519,6100,Wellington
-41.289481,174.75813,1161,4550,Wellington
-41.288417,174.764653,758,3039,Wellington
-41.292577,174.758859,1142,4054,Wellington
-41.283031,174.771004,667,753,Wellington
-41.286901,174.773237,844,1685,Wellington
-41.295704,174.766499,1041,2533,Wellington
-41.30436,174.777654,1331,3816,Wellington
-41.302029,174.773721,1172,3325,Wellington
-41.292637,174.786935,1154,2581,Wellington
-41.297614,174.787135,1071,2906,Wellington
-41.289274,174.802318,1280,4761,Wellington
-41.291374,174.794803,1011,3513,Wellington
-41.298913,174.803242,2087,5164,Wellington
-41.304154,174.794271,1251,3963,Wellington
-41.306631,174.763274,1082,4079,Wellington
-41.315654,174.769062,2278,5093,Wellington
-41.293995,174.745244,1180,6862,Wellington
-41.345142,174.768771,2432,8949,Wellington
-41.340982,174.785529,2532,9387,Wellington
-41.332269,174.782759,2400,7346,Wellington
-41.325314,174.832745,2451,11506,Wellington
-41.317875,174.818772,2132,8215,Wellington
-41.302651,174.820633,2141,12668,Wellington
-41.220619,174.807044,1276,9796,Wellington
-41.250606,174.774322,1324,5754,Wellington
-41.25122,174.794796,1989,5343,Wellington
-41.319761,174.798538,1562,5972,Wellington
-41.313123,174.783613,1772,5053,Wellington
-41.288732,174.72348,1191,6755,Wellington
-41.262277,174.947742,3902,25389,Wellington
-41.296066,174.776434,1078,2211,Wellington
