lat,lng,duration,distance,city
-43.58464,172.508897,3236,15512,Christchurch
-43.590017,172.569161,3146,11190,Christchurch
-43.602402,172.716853,2495,14045,Christchurch
-43.531238,172.530928,3368,12750,Christchurch
-43.514897,172.553727,2059,9955,Christchurch
-43.508775,172.574855,1467,7208,Christchurch
-43.489716,172.544442,2134,10249,Christchurch
-43.473698,172.617146,2021,7928,Christchurch
-43.444412,172.636998,2681,12039,Christchurch
-43.432633,172.650025,2599,13588,Christchurch
-43.473675,172.669969,2626,10716,Christchurch
-43.474927,172.702657,2386,13217,Christchurch
-43.485921,172.720845,2433,11422,Christchurch
-43.495385,172.710766,2171,9586,Christchurch
-43.506262,172.728909,2292,9073,Christchurch
-43.523699,172.732884,2895,16278,Christchurch
-43.51094,172.716877,1774,7648,Christchurch
-43.510391,172.701179,2243,7659,Christchurch
-43.500099,172.687728,1565,7253,Christchurch
-43.507975,172.662185,1159,4571,Christchurch
-43.497648,172.642873,1171,4834,Christchurch
-43.508075,172.645916,951,3294,Christchurch
-43.517584,172.659714,1064,3588,Christchurch
-43.517167,172.701524,1601,6395,Christchurch
-43.516633,172.687137,1689,6186,Christchurch
-43.533701,172.673108,1059,3271,Christchurch
-43.547308,172.679055,1414,4637,Christchurch
-43.562376,172.675771,1497,6676,Christchurch
-43.549292,172.659849,1251,4747,Christchurch
-43.557992,172.636871,999,4102,Christchurch
-43.567808,172.63492,1307,5051,Christchurch
-43.558384,172.619946,1743,5853,Christchurch
-43.57008,172.590763,2561,8622,Christchurch
-43.552464,172.568158,3099,9583,Christchurch
-43.53168,172.574332,2010,7138,Christchurch
-43.551946,172.51736,3569,13527,Christchurch
-43.543456,172.525506,2735,11355,Christchurch
-43.520093,172.533952,3108,11217,Christchurch
-43.576125,172.70372,1798,9573,Christchurch
-43.574413,172.763535,3022,13161,Christchurch
-43.512949,172.622398,984,3008,Christchurch
-43.541852,172.614271,1203,3894,Christchurch
-43.531884,172.657639,886,2114,Christchurch
-43.563748,172.660022,2314,7016,Christchurch
-43.479607,172.700085,2119,11439,Christchurch
-43.516836,172.572088,1814,8244,Christchurch
-43.641843,172.47046,4048,23631,Christchurch
-43.58191,172.409637,4036,23767,Christchurch
-43.518595,172.590306,1027,5361,Christchurch
